scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_socio2_ag5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00802816,24.501,0.01472541,4.20865,4.340702969000001,0.01206039,4.30538,0.01941763,0.0012816289999999,0.00256332,3,1,4,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00803896,24.4363,0.01457364,4.1481200000000005,4.260724880000001,0.012237,4.22503,0.01959639,0.00129219,0.0025693,3,1,5,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00778868,23.6355,0.01409638,3.98421,4.092246764,0.01186094,4.05783,0.01885899,0.001234494,0.00246234,1,2,1,1,1,5,2,2,0,6,5,7,4,0,3
ssp_socio2_ag5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00787558,23.889,0.01418909,4.18278,4.1702358109999995,0.01194079,4.13537,0.01918229,0.001248081,0.00249465,1,2,2,1,1,5,2,2,0,6,5,7,4,0,3
ssp_socio2_ag5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00731819,22.57974,0.01329291,3.85709,3.8672120469999993,0.01133713,3.8343,0.01804346,0.001171447,0.00236001,1,2,3,1,1,5,2,2,5,6,5,7,4,0,3
ssp_socio2_ag5_gwlo_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00804037,24.3692,0.01462815,4.18184,4.300810901,0.012096,4.26545,0.01940933,0.001287211,0.00256836,1,2,4,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwlo_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00803274,24.3659,0.01444992,4.15994,4.244120644,0.01226188,4.208419999999999,0.01957408,0.001293514,0.00257117,1,2,5,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00780377,23.7945,0.0142305099999999,3.99242,4.2044791460000015,0.01182143,4.17013,0.01883457,0.001228956,0.00246419,1,1,1,1,1,5,2,2,0,6,5,7,4,0,3
ssp_socio2_ag5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00787073,24.0539,0.01433378,4.10587,4.268623488999999,0.01190792,4.23393,0.01904355,0.0012435389999999,0.00249848,1,1,2,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00732387,22.71348,0.01336743,3.99814,3.9974609570000004,0.01127482,3.96443,0.01822909,0.001165687,0.00236136,1,1,3,1,1,5,2,2,0,6,5,7,4,0,3
ssp_socio2_ag5_gwlo_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00805826,24.527,0.01477409,4.2003,4.403151105000002,0.01205914,4.367850000000002,0.01939166,0.0012813249999999,0.00256898,1,1,4,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwlo_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00805213,24.458,0.01461644,4.146,4.3935171639999995,0.01224823,4.35786,0.01954143,0.001289814,0.00257769,1,1,5,1,1,5,2,2,0,6,5,7,6,0,3
ssp_socio2_ag5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00778499,23.6275,0.01408921,3.98372,4.056201099,0.01186811,4.02179,0.01884547,0.001236039,0.00246148,2,2,1,1,1,5,2,2,0,6,5,7,4,0,3
ssp_socio2_ag5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00787635,23.8906,0.0141870399999999,4.10906,4.124878900000001,0.01195821,4.09006,0.01911692,0.00124984,0.00249393,2,2,2,1,1,5,2,2,0,6,5,7,4,0,3
