scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal
ssp_socio3_ag3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0475361999999999,4.01545,1.592576,0.561526,17.0958238,3.4633800000000003,9.54443,0.479352,0.0577336,3.30466,0.2462682,3,2,2,1,1,3,3,7
ssp_socio3_ag3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0460636,3.92432,1.55396,0.54838,16.726645099999995,3.39056,9.34729,0.467025,0.0564617,3.22415,0.2411584,3,2,3,1,1,3,3,7
ssp_socio3_ag3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0463782,3.92065,1.560541,0.548233,16.6373731,3.37183,9.27388,0.470046,0.0562511,3.22412,0.241246,3,2,4,1,1,3,3,7
ssp_socio3_ag3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0467754,3.96587,1.570179,0.554194,16.9499254,3.42398,9.47545,0.476073,0.0570768,3.27279,0.2445556,3,2,5,1,1,3,3,7
ssp_socio3_ag3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0476426999999999,4.034,1.601533,0.5642729999999999,17.0071966,3.45826,9.46991,0.482915,0.057599,3.29132,0.2471925999999999,3,1,1,1,1,3,3,7
ssp_socio3_ag3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0477874,4.0366,1.597391,0.5656640000000001,17.0723812,3.46125,9.52262,0.483852,0.0578639,3.2998000000000003,0.2469953,3,1,2,1,1,3,3,7
ssp_socio3_ag3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0464313,3.94777,1.559977,0.5530710000000001,16.6831459,3.38606,9.30728,0.472124,0.0566287,3.21918,0.2418732,3,1,3,1,1,3,3,7
ssp_socio3_ag3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0467770999999999,3.93879,1.566561,0.552108,16.5965494,3.37135,9.23407,0.474624,0.0563657,3.21823,0.2419097,3,1,4,1,1,3,3,7
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0469829,3.97254,1.574659,0.5570430000000001,16.9077001,3.4235800000000003,9.43294,0.479752,0.0570809,3.2693000000000003,0.2450472,3,1,5,1,1,3,3,7
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0483212,4.0538300000000005,1.597714,0.5646450000000001,17.1823214,3.5122,9.56892,0.48674,0.0574235,3.30761,0.2494279,1,2,1,1,1,3,3,7
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0480899,4.02831,1.590782,0.562739,17.0909725,3.46816,9.53341,0.4830649999999999,0.0578049999999999,3.3018,0.2467325,1,2,2,1,1,3,3,7
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0468282,3.94078,1.5514679999999998,0.5498649999999999,16.7391863,3.4002099999999995,9.34457,0.470951,0.0565227,3.22513,0.2418025999999999,1,2,3,1,1,3,3,7
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.047391,3.94491,1.559844,0.550384,16.6290772,3.37857,9.25124,0.477077,0.0563503,3.22379,0.2420499,1,2,4,1,1,3,3,7
ssp_socio3_ag3_gwlo_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0478854,3.98988,1.567519,0.556469,16.9547459,3.43214,9.4664,0.481475,0.0571828,3.27225,0.2452981,1,2,5,1,1,3,3,7
ssp_socio3_ag3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0495892,4.08434,1.603338,0.568587,16.982939599999998,3.47088,9.41191,0.498308,0.0578016999999999,3.2947800000000003,0.2492599,1,1,1,1,1,3,3,7
ssp_socio3_ag3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0493131999999999,4.07147,1.598154,0.568734,17.048565699999997,3.47494,9.47133,0.495909,0.0579144,3.3002,0.2482723,1,1,2,1,1,3,3,7
ssp_socio3_ag3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0488068,3.99315,1.561516,0.5570539999999999,16.7002409,3.4102300000000003,9.27689,0.484026,0.0567334999999999,3.22838,0.2439814,1,1,3,1,1,3,3,7
ssp_socio3_ag3_gwlo_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0489784,3.99667,1.571753,0.557292,16.5635499,3.3872600000000004,9.16074,0.492108,0.0565761999999999,3.2226,0.2442657,1,1,4,1,1,3,3,7
ssp_socio3_ag3_gwlo_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0493286,4.01543,1.571246,0.5610430000000001,16.9152394,3.4392,9.40931,0.49031,0.0572583,3.27232,0.2468411,1,1,5,1,1,3,3,7
ssp_socio3_ag3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0474444,4.01847,1.596418,0.560609,17.0500541,3.45975,9.50946,0.479806,0.0575759,3.29645,0.2470122,2,2,1,1,1,3,3,7
ssp_socio3_ag3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0475645,4.017869999999999,1.593176,0.561833,17.092578,3.4701699999999995,9.53604,0.480335,0.0576396999999999,3.30196,0.2464333,2,2,2,1,1,3,3,7
ssp_socio3_ag3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046429,3.93089,1.5517690000000002,0.5488729999999999,16.7289588,3.393,9.3452,0.468631,0.056503,3.2242999999999995,0.2413248,2,2,3,1,1,3,3,7
ssp_socio3_ag3_gwmed_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0464628,3.92399,1.562098,0.548584,16.633122200000003,3.37305,9.26767,0.471101,0.0562663,3.22371,0.2413248999999999,2,2,4,1,1,3,3,7
ssp_socio3_ag3_gwmed_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046985,3.96997,1.569432,0.554562,16.945908199999998,3.42547,9.46926,0.476818,0.0570791999999999,3.27274,0.2445409999999999,2,2,5,1,1,3,3,7
ssp_socio3_ag3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0477423,4.0413700000000015,1.6030919999999995,0.564979,17.0040661,3.46186,9.45975,0.485056,0.0576121,3.29221,0.247578,2,1,1,1,1,3,3,7
ssp_socio3_ag3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0478028,4.03362,1.596888,0.565346,17.052120600000002,3.46111,9.50543,0.483824,0.0577742,3.29727,0.2467123999999999,2,1,2,1,1,3,3,7
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0468787,3.95935,1.56015,0.5541200000000001,16.6816074,3.39762,9.29127,0.475023,0.0565914999999999,3.21882,0.2422828999999999,2,1,3,1,1,3,3,7
ssp_socio3_ag3_gwmed_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0469513,3.94817,1.569806,0.5531159999999999,16.5840901,3.37524,9.21467,0.477192,0.0563958,3.2183400000000004,0.2422522999999999,2,1,4,1,1,3,3,7
ssp_socio3_ag3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0472171999999999,3.97905,1.575351,0.557769,16.903673,3.42669,9.42445,0.481841,0.0570605,3.26836,0.2452715,2,1,5,1,1,3,3,7
