scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag3_gwhi_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03917615,3.635884,1.330028,0.569353,14.3569926,2.702327,8.12459,0.4265882,0.0497034,2.785219,0.268565,3,1,3,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0467770999999999,3.93879,1.566561,0.552108,16.5965494,3.37135,9.23407,0.474624,0.0563657,3.21823,0.2419097,3,1,4,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwhi_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03954532,3.643606,1.338844,0.570192,14.298907900000001,2.692246,8.075744,0.4291187,0.0497761999999999,2.783085,0.268938,3,1,4,2,1,3,3,3,3,1,3,1
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0469829,3.97254,1.574659,0.5570430000000001,16.9077001,3.4235800000000003,9.43294,0.479752,0.0570809,3.2693000000000003,0.2450472,3,1,5,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03937064,3.6379,1.329174,0.5689960000000001,14.439304400000003,2.716668,8.172677,0.4296705,0.0498179,2.800418,0.270053,3,1,5,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0483212,4.0538300000000005,1.597714,0.5646450000000001,17.1823214,3.5122,9.56892,0.48674,0.0574235,3.30761,0.2494279,1,2,1,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04011992,3.66685,1.341267,0.571576,14.4355224,2.721633,8.151878,0.4322819,0.049939,2.809604,0.2701865,1,2,1,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0480899,4.02831,1.590782,0.562739,17.0909725,3.46816,9.53341,0.4830649999999999,0.0578049999999999,3.3018,0.2467325,1,2,2,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04001435,3.657606,1.337791,0.5707990000000001,14.4692303,2.724486,8.181389,0.4320675999999999,0.0499741,2.811078,0.2702355999999999,1,2,2,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0468282,3.94078,1.5514679999999998,0.5498649999999999,16.7391863,3.4002099999999995,9.34457,0.470951,0.0565227,3.22513,0.2418025999999999,1,2,3,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03948574,3.630831,1.323479,0.567051,14.392378099999998,2.70638,8.153647,0.4246305999999999,0.0496763,2.789861,0.2681832,1,2,3,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.047391,3.94491,1.559844,0.550384,16.6290772,3.37857,9.25124,0.477077,0.0563503,3.22379,0.2420499,1,2,4,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04014509,3.654718,1.337164,0.569383,14.318913200000003,2.705918,8.070628000000001,0.4347308,0.0496446999999999,2.78879,0.2692017,1,2,4,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0478854,3.98988,1.567519,0.556469,16.9547459,3.43214,9.4664,0.481475,0.0571828,3.27225,0.2452981,1,2,5,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04009303,3.644531,1.321345,0.5683929999999999,14.4607045,2.71443,8.193817,0.4300018,0.049941,2.80263,0.2698847,1,2,5,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0495892,4.08434,1.603338,0.568587,16.982939599999998,3.47088,9.41191,0.498308,0.0578016999999999,3.2947800000000003,0.2492599,1,1,1,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0412646099999999,3.707317,1.3500100000000002,0.576025,14.3805286,2.724767,8.082046,0.4440907999999999,0.0501313,2.8077300000000003,0.2717635,1,1,1,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0493131999999999,4.07147,1.598154,0.568734,17.048565699999997,3.47494,9.47133,0.495909,0.0579144,3.3002,0.2482723,1,1,2,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04103331,3.696635,1.346541,0.574946,14.434969299999999,2.735302,8.125468,0.4433742,0.0500748,2.809117,0.2716333,1,1,2,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0488068,3.99315,1.561516,0.5570539999999999,16.7002409,3.4102300000000003,9.27689,0.484026,0.0567334999999999,3.22838,0.2439814,1,1,3,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0410904999999999,3.678412,1.336258,0.5723550000000001,14.3516158,2.71846,8.080038,0.4400133,0.0498652,2.792991,0.2702483,1,1,3,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0489784,3.99667,1.571753,0.557292,16.5635499,3.3872600000000004,9.16074,0.492108,0.0565761999999999,3.2226,0.2442657,1,1,4,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04150125,3.695648,1.345322,0.5740540000000001,14.275482399999998,2.715862,8.005939999999999,0.4457427000000001,0.0498213,2.787096,0.2710204,1,1,4,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwlo_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0493286,4.01543,1.571246,0.5610430000000001,16.9152394,3.4392,9.40931,0.49031,0.0572583,3.27232,0.2468411,1,1,5,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwlo_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04133104,3.682411,1.330414,0.572217,14.4227264,2.727136,8.126248,0.4433234,0.0500165,2.804322,0.2716805,1,1,5,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0474444,4.01847,1.596418,0.560609,17.0500541,3.45975,9.50946,0.479806,0.0575759,3.29645,0.2470122,2,2,1,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03956428,3.652384,1.342137,0.570455,14.443066799999999,2.7189400000000004,8.168311,0.4269807,0.0498845,2.809252,0.2696986,2,2,1,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0475645,4.017869999999999,1.593176,0.561833,17.092578,3.4701699999999995,9.53604,0.480335,0.0576396999999999,3.30196,0.2464333,2,2,2,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03958321,3.643808,1.337717,0.569754,14.4746986,2.719244,8.199228999999999,0.4264476,0.0499729,2.810023,0.2697821,2,2,2,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046429,3.93089,1.5517690000000002,0.5488729999999999,16.7289588,3.393,9.3452,0.468631,0.056503,3.2242999999999995,0.2413248,2,2,3,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03932028,3.626484,1.32318,0.566759,14.400358800000001,2.708937,8.159419,0.4236754,0.0496297,2.790671,0.2680267,2,2,3,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0464628,3.92399,1.562098,0.548584,16.633122200000003,3.37305,9.26767,0.471101,0.0562663,3.22371,0.2413248999999999,2,2,4,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03977813,3.639668,1.3329079999999998,0.568211,14.3483599,2.7044300000000003,8.108292,0.428272,0.0496191,2.7891660000000003,0.2685808,2,2,4,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046985,3.96997,1.569432,0.554562,16.945908199999998,3.42547,9.46926,0.476818,0.0570791999999999,3.27274,0.2445409999999999,2,2,5,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03981763,3.640498000000001,1.323013,0.567991,14.4737028,2.71925,8.200023999999999,0.4292397,0.0498537,2.805514,0.2698214,2,2,5,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0477423,4.0413700000000015,1.6030919999999995,0.564979,17.0040661,3.46186,9.45975,0.485056,0.0576121,3.29221,0.247578,2,1,1,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03983827,3.670815,1.34647,0.573445,14.4094295,2.720723,8.130995,0.4322432,0.0499406,2.805187,0.2703407,2,1,1,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0478028,4.03362,1.596888,0.565346,17.052120600000002,3.46111,9.50543,0.483824,0.0577742,3.29727,0.2467123999999999,2,1,2,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03977424,3.660124,1.341459,0.572379,14.4501419,2.723898,8.169162,0.4314864,0.0499584,2.805352,0.2702850999999999,2,1,2,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0468787,3.95935,1.56015,0.5541200000000001,16.6816074,3.39762,9.29127,0.475023,0.0565914999999999,3.21882,0.2422828999999999,2,1,3,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04021237,3.659704,1.329216,0.571099,14.349129500000002,2.712231,8.103791000000001,0.4315901,0.0497691,2.7824020000000003,0.2693463,2,1,3,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0469513,3.94817,1.569806,0.5531159999999999,16.5840901,3.37524,9.21467,0.477192,0.0563958,3.2183400000000004,0.2422522999999999,2,1,4,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04046111,3.67326,1.345722,0.5724739999999999,14.256289499999998,2.701616,8.011965,0.4405273,0.0498447,2.782219,0.2701175,2,1,4,2,1,3,3,3,3,1,4,1
ssp_socio3_ag3_gwmed_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0472171999999999,3.97905,1.575351,0.557769,16.903673,3.42669,9.42445,0.481841,0.0570605,3.26836,0.2452715,2,1,5,1,1,3,3,7,3,6,4,1
ssp_socio3_ag3_gwmed_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.04015647,3.65145,1.324096,0.570058,14.4445947,2.719571,8.171987999999999,0.4325949,0.0499075,2.800119,0.2704143,2,1,5,2,1,3,3,3,3,1,4,1
