scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.04197,5.809010000000002,24.5193,0.0009759489999999,11.8110685,6.533580000000001,2.234993,2.8025900000000004,0.105163,0.1347425,3,2,1,1,2,4,3,4,5,0,5,1,7
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.904044,6.205260000000001,25.50279,0.00156334,11.411295,5.96826,2.3177060000000003,2.792869,0.117304,0.215156,3,2,1,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.0310300000000003,5.76077,24.186300000000006,0.000983106,11.739526700000003,6.482010000000002,2.227959,2.79042,0.1044378999999999,0.1346997999999999,3,2,2,1,2,4,3,4,5,0,5,1,7
ssp_ag4_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.881477,6.149039999999999,25.36716,0.00167667,11.4558734,5.97146,2.345424,2.7972360000000003,0.1172357,0.2245177,3,2,2,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,2.96518,5.805969999999999,23.9655,0.0010303839999999,11.889359400000004,6.5829900000000015,2.236725,2.81339,0.1028856,0.1533688,3,2,3,1,2,4,3,4,5,7,5,1,7
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.796644,6.16514,25.28622,0.001605372,11.3563795,5.94902,2.3055440000000003,2.769252,0.1174549999999999,0.2151085,3,2,3,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.0098000000000003,5.731730000000001,24.2581,0.0009750319999999,11.661523599999999,6.423369999999999,2.233655,2.76554,0.1041233999999999,0.1348352,3,2,4,1,2,4,3,4,5,0,5,1,7
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.882863,6.16561,25.43228,0.001629182,11.4098505,5.93762,2.3513900000000003,2.7838830000000003,0.1169012,0.2200563,3,2,4,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,2.99099,5.7474300000000005,24.099,0.000981764,11.7670672,6.49932,2.237082,2.79056,0.1047684,0.1353368,3,2,5,1,2,4,3,4,5,7,5,1,7
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.86685,6.16824,25.15996,0.001573149,11.4203249,5.96441,2.3314470000000003,2.790602,0.1171772,0.2166887,3,2,5,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.03245,5.8233,24.5405,0.001037286,11.871394500000001,6.545780000000001,2.285572,2.79224,0.1046441,0.1431584,3,1,1,1,2,4,3,4,5,0,5,1,7
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.898701,6.1622900000000005,25.58363,0.001615065,11.3644493,5.93386,2.355458,2.743619,0.1178316,0.2136807,3,1,1,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.03831,5.76576,24.0511,0.000987529,11.740337199999999,6.467169999999999,2.253477,2.7799,0.1039388,0.1358513999999999,3,1,2,1,2,4,3,4,5,7,5,1,7
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.9061060000000003,6.19244,25.25673,0.001577645,11.413148500000002,5.947100000000002,2.346448,2.786069,0.1166531,0.2168784,3,1,2,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,2.9845900000000003,5.7883700000000005,24.0735,0.0009884219999999,11.7256144,6.46542,2.242734,2.77928,0.1031857,0.1349947,3,1,3,1,2,4,3,4,5,7,5,1,7
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.87144,6.20934,25.28862,0.00158319,11.4165938,5.95176,2.34397,2.788271,0.1167676,0.2158252,3,1,3,2,2,4,3,4,5,0,1,7,7
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,3.02339,5.76599,24.2825,0.000983468,11.676009199999998,6.408519999999998,2.26288,2.76493,0.1036067,0.1360724999999999,3,1,4,1,2,4,3,4,5,0,5,1,7
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,2.901232,6.19631,25.37228,0.001571311,11.407687999999998,5.9121500000000005,2.390745,2.772215,0.1159816,0.2165964,3,1,4,2,2,4,3,4,5,0,1,7,7
