scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.903063e-06,1.705468,0.5238700000000001,36.4310534,24.32974,5.31459,0.8458239999999999,5.10344,0.700572,0.1368874,1,1,1,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.009311e-06,1.786157,0.6266700000000001,34.9167387,22.41197,5.5735410000000005,1.058295,4.96902,0.727975,0.1759377,1,1,1,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.889417e-06,1.701568,0.524782,36.559836600000004,24.40267,5.35495,0.84209,5.12098,0.702634,0.1365125999999999,1,1,2,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.9909050000000004e-06,1.7807419999999998,0.6251760000000001,35.009512,22.48871,5.6005850000000015,1.056309,4.96016,0.7279909999999999,0.175757,1,1,2,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.918427000000001e-06,1.694101,0.523861,36.5582329,24.4158,5.3536,0.8351540000000001,5.11598,0.7008179999999999,0.1368809,1,1,3,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.0125420000000003e-06,1.776986,0.625843,35.003046600000005,22.47558,5.6027510000000005,1.053908,4.96698,0.727945,0.1758826,1,1,3,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.949632e-06,1.720103,0.5284439999999999,36.5962625,24.43236,5.32156,0.859575,5.13973,0.7050190000000001,0.1380185,1,1,4,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.049837e-06,1.793693,0.629339,35.0251612,22.51046,5.564085,1.069959,4.97561,0.7282420000000001,0.1768052,1,1,4,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwlo_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.925343e-06,1.6920700000000002,0.5235029999999999,36.6223385,24.43361,5.3830800000000005,0.841583,5.12196,0.7047920000000001,0.1373135,1,1,5,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwlo_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,3.023515e-06,1.7659539999999998,0.624437,35.06296410000001,22.50378000000001,5.621037,1.059534,4.972849999999998,0.7293390000000001,0.1764241,1,1,5,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.772383e-06,1.696438,0.516187,36.3086618,24.21789,5.36393,0.8135730000000001,5.07757,0.700178,0.1355208,2,2,1,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.882863e-06,1.7748099999999998,0.6202340000000001,34.8342273,22.3446,5.6282830000000015,1.020606,4.93842,0.7278680000000001,0.1744503,2,2,1,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.7838599999999995e-06,1.695906,0.5184880000000001,36.47838430000001,24.341990000000006,5.38905,0.8157530000000001,5.093430000000001,0.7026939999999999,0.1354672999999999,2,2,2,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.885252e-06,1.7699,0.619737,34.878370600000004,22.35505,5.6517800000000005,1.020294,4.94829,0.728394,0.1745625999999999,2,2,2,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.776579e-06,1.687799,0.5176029999999999,36.4687507,24.32047,5.39645,0.813191,5.10195,0.701136,0.1355537,2,2,3,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.883338e-06,1.7615009999999998,0.620216,34.9283918,22.40439,5.658449,1.020155,4.9431400000000005,0.7277899999999999,0.1744677999999999,2,2,3,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.79349e-06,1.7081590000000002,0.5200130000000001,36.4542285,24.30425,5.3798200000000005,0.8219230000000001,5.10726,0.704707,0.1362685,2,2,4,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.921259e-06,1.776663,0.622675,34.9167313,22.4003,5.631368,1.031425,4.950130000000001,0.728417,0.1750912999999999,2,2,4,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.783541e-06,1.690851,0.51784,36.4960568,24.31519,5.41592,0.819723,5.10432,0.704862,0.1360418,2,2,5,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.91114e-06,1.755795,0.6196459999999999,34.977008399999995,22.42265,5.668679999999998,1.028791,4.9524300000000006,0.729336,0.1751213999999999,2,2,5,2,1,3,3,5,1,0,7
ssp_socio3_ag3_gwmed_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.791803e-06,1.704314,0.520369,36.3357037,24.25438,5.33896,0.822622,5.084169999999999,0.699674,0.1358977,2,1,1,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.904169e-06,1.781134,0.6237050000000001,34.856989000000006,22.37043,5.605333,1.032423,4.94672,0.7271380000000001,0.174945,2,1,1,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.799787e-06,1.700457,0.521846,36.4510046,24.30757,5.37491,0.821519,5.1092200000000005,0.7021069999999999,0.1356785999999999,2,1,2,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.900047e-06,1.775038,0.62268,34.9176975,22.40264,5.632873,1.031264,4.94861,0.7273769999999999,0.1749335,2,1,2,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.803605e-06,1.6946330000000005,0.5218210000000001,36.480903899999994,24.35035,5.365819999999999,0.8210459999999999,5.10818,0.699461,0.1360469,2,1,3,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.950045e-06,1.769389,0.624993,34.960132,22.43947,5.623018,1.036853,4.959569999999999,0.7258169999999999,0.175404,2,1,3,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.824464e-06,1.7171759999999998,0.524375,36.4827426,24.33707,5.35084,0.832784,5.12141,0.703809,0.1368296,2,1,4,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.975178e-06,1.7955010000000002,0.628041,34.9215944,22.40601,5.572051,1.059512,4.98021,0.727494,0.1763174,2,1,4,2,1,3,3,5,6,0,7
ssp_socio3_ag3_gwmed_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.799143e-06,1.697273,0.5207539999999999,36.5183053,24.35094,5.39329,0.8274819999999999,5.10591,0.704194,0.1364892999999999,2,1,5,1,1,3,3,1,1,0,7
ssp_socio3_ag3_gwmed_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.9376330000000003e-06,1.758115,0.6222,34.996401,22.44205,5.652856,1.036673,4.96084,0.728383,0.1755989999999999,2,1,5,2,1,3,3,5,6,0,7
