scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.61269,21.98352,5.25799,21.57038,17.501106999999998,1.852265,9.78189,3.99765,1.223667,0.6456350000000001,1,1,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.2393,19.21445,1.417878,16.760469999999998,13.706381000000002,1.852149,7.44378,3.1657900000000003,0.8366720000000001,0.40799,1,1,5,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.6362,21.57334,5.5483400000000005,21.331,17.698437000000002,1.866628,9.95246,4.00579,1.219076,0.6544829999999999,1,1,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.60424,21.98709,6.19608,21.46527,17.66879,1.872629,9.8114,4.0948,1.225588,0.664373,2,2,1,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.53436,21.01868,5.47147,19.424,16.685783999999998,2.049576,9.22941,3.98726,0.890452,0.529086,2,2,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.6881,22.42727,8.3393,22.33933,18.903725,1.928884,10.6335,4.3822100000000015,1.244367,0.7147640000000001,2,2,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.32528,20.2096,4.99311,18.60926,15.880515,1.984485,8.71521,3.81986,0.855086,0.5058739999999999,2,2,3,1,1,1,3,5,7,6,2,1,4,1
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5727300000000004,22.00654,6.783930000000001,21.78068,17.975742,1.898102,9.95747,4.20184,1.238398,0.679932,2,2,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.24688,19.25356,0.892444,16.48762,13.100119999999999,1.826697,6.96435,3.07444,0.84125,0.393383,2,2,4,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.58534,21.8271,4.58513,20.97707,16.910686000000002,1.837838,9.32103,3.89452,1.226587,0.630711,2,2,4,2,1,1,3,5,5,2,2,1,4,1
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.2877300000000003,19.77586,4.76742,18.24688,15.565008999999998,1.946103,8.530439999999999,3.73988,0.8525870000000001,0.495999,2,2,5,1,1,1,3,5,7,6,2,1,4,1
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5592,21.8431,6.8033800000000015,21.56796,17.977712,1.887722,9.99879,4.17787,1.233054,0.680276,2,2,5,2,1,1,3,5,5,4,2,1,4,1
